|  Class   | Base Accuracy | Base Confidence | Base Complement Acc | Base Compliment Conf | STD Accuracy | STD Confidence | STD compliment ACC | STD compliment Conf | MAX Accuracy | MAX Confidence | Max compliment acc | Max compliment conf | Total Masked | Intersedction |
+----------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+--------------+----------------+--------------------+---------------------+--------------+---------------+
| Class 34 |      1.0      |      0.9969     |        0.9997       |        0.9954        |     1.0      |     0.9581     |       0.9997       |        0.9897       |     1.0      |     0.8367     |       0.9996       |        0.9898       |     115      |       51      |
| Class 35 |      1.0      |      0.9941     |        0.9997       |        0.9955        |     1.0      |     0.9056     |       0.9997       |        0.9903       |     1.0      |     0.7971     |       0.9997       |        0.9904       |     115      |       57      |
| Class 36 |      1.0      |      0.9941     |        0.9997       |        0.9955        |     1.0      |     0.9383     |       0.9995       |        0.9904       |     1.0      |     0.7541     |       0.9996       |         0.99        |     115      |       58      |
| Class 37 |      1.0      |      0.9939     |        0.9997       |        0.9955        |     1.0      |     0.9463     |       0.9997       |        0.9906       |     1.0      |     0.6893     |       0.9997       |         0.99        |     115      |       49      |
| Class 38 |      1.0      |      0.9959     |        0.9997       |        0.9954        |     1.0      |     0.9284     |       0.9997       |        0.9902       |     1.0      |     0.7708     |       0.9996       |        0.9901       |     115      |       54      |
| Class 39 |      1.0      |      0.9953     |        0.9997       |        0.9954        |     1.0      |     0.9684     |       0.9997       |        0.9903       |    0.9922    |     0.8894     |       0.9997       |        0.9899       |     115      |       55      |
| Class 40 |      1.0      |      0.9812     |        0.9997       |        0.9956        |    0.9796    |     0.9293     |       0.9997       |        0.9903       |    0.9796    |     0.8422     |       0.9997       |        0.9899       |     115      |       52      |
| Class 41 |      1.0      |      0.9939     |        0.9997       |        0.9955        |     1.0      |     0.9229     |       0.9995       |        0.9903       |     1.0      |     0.6898     |       0.9995       |        0.9898       |     115      |       55      |
| Class 42 |      1.0      |      0.9963     |        0.9997       |        0.9954        |     1.0      |     0.9622     |       0.9995       |        0.9904       |     1.0      |     0.8173     |       0.9997       |        0.9902       |     115      |       53      |
| Class 43 |      1.0      |      0.9948     |        0.9997       |        0.9954        |     1.0      |     0.9591     |       0.9998       |        0.9903       |     1.0      |     0.8352     |       0.9998       |        0.9899       |     115      |       49      |
| Class 44 |      1.0      |      0.9964     |        0.9997       |        0.9954        |     1.0      |     0.9308     |       0.9996       |        0.9901       |     1.0      |     0.8045     |       0.9995       |         0.99        |     115      |       57      |
| Class 45 |      1.0      |      0.9954     |        0.9997       |        0.9954        |     1.0      |     0.9578     |       0.9995       |        0.9901       |     1.0      |     0.8525     |       0.9997       |        0.9899       |     115      |       52      |
| Class 46 |      1.0      |      0.9948     |        0.9997       |        0.9954        |    0.993     |     0.9563     |       0.9995       |        0.9901       |    0.993     |     0.758      |       0.9995       |        0.9902       |     115      |       57      |
| Class 47 |     0.9933    |      0.9934     |        0.9998       |        0.9955        |    0.9866    |     0.9166     |       0.9998       |        0.9899       |    0.9866    |     0.7718     |       0.9998       |        0.9898       |     115      |       60      |
| Class 48 |      1.0      |      0.9955     |        0.9997       |        0.9954        |     1.0      |     0.9568     |       0.9997       |        0.9899       |     1.0      |     0.8212     |       0.9997       |        0.9903       |     115      |       52      |
| Class 49 |      1.0      |      0.9958     |        0.9997       |        0.9954        |     1.0      |     0.9423     |       0.9996       |         0.99        |     1.0      |     0.816      |       0.9995       |         0.99        |     115      |       52      |
| Class 50 |      1.0      |      0.9951     |        0.9997       |        0.9954        |     1.0      |     0.9435     |       0.9995       |        0.9903       |     1.0      |     0.7827     |       0.9997       |        0.9898       |     115      |       51      |
| Class 51 |      1.0      |      0.997      |        0.9997       |        0.9954        |     1.0      |     0.9678     |       0.9997       |         0.99        |     1.0      |     0.8588     |       0.9996       |        0.9901       |     115      |       51      |
