|  Class   | Base Accuracy | Base Confidence | Base Complement Acc | Base Compliment Conf | STD Accuracy | STD Confidence | STD compliment ACC | STD compliment Conf | MAX Accuracy | MAX Confidence | Max compliment acc | Max compliment conf | Total Masked | Intersedction |
+----------+---------------+-----------------+---------------------+----------------------+--------------+----------------+--------------------+---------------------+--------------+----------------+--------------------+---------------------+--------------+---------------+
| Class 34 |      1.0      |      0.9969     |        0.9997       |        0.9954        |     1.0      |     0.8146     |       0.9995       |        0.9391       |     1.0      |     0.8146     |       0.9995       |        0.9391       |     230      |  tensor(-115) |
| Class 35 |      1.0      |      0.9941     |        0.9997       |        0.9955        |     1.0      |     0.7181     |       0.9998       |        0.9378       |     1.0      |     0.7181     |       0.9998       |        0.9378       |     230      |      230      |
| Class 36 |      1.0      |      0.9941     |        0.9997       |        0.9955        |     1.0      |     0.7682     |       0.9996       |        0.935        |     1.0      |     0.7698     |       0.9996       |        0.9351       |     230      |  tensor(-115) |
| Class 37 |      1.0      |      0.9939     |        0.9997       |        0.9955        |     1.0      |     0.7114     |       0.9998       |        0.9353       |     1.0      |     0.7126     |       0.9998       |        0.9359       |     230      |      230      |
| Class 38 |      1.0      |      0.9959     |        0.9997       |        0.9954        |     1.0      |     0.7989     |       0.9998       |        0.9359       |     1.0      |     0.8009     |       0.9998       |        0.9356       |     230      |  tensor(-115) |
| Class 39 |      1.0      |      0.9953     |        0.9997       |        0.9954        |     1.0      |     0.8698     |       0.9995       |        0.939        |     1.0      |     0.8698     |       0.9995       |        0.939        |     230      |      230      |
| Class 40 |      1.0      |      0.9812     |        0.9997       |        0.9956        |    0.9796    |     0.8103     |       0.9997       |        0.9384       |    0.9796    |     0.8109     |       0.9997       |        0.9387       |     230      |  tensor(-115) |
| Class 41 |      1.0      |      0.9939     |        0.9997       |        0.9955        |     1.0      |     0.7388     |       0.9997       |        0.9346       |     1.0      |     0.7349     |       0.9997       |        0.9357       |     230      |      227      |
| Class 42 |      1.0      |      0.9963     |        0.9997       |        0.9954        |     1.0      |     0.7385     |       0.9995       |        0.9359       |     1.0      |     0.7355     |       0.9995       |        0.9357       |     230      |  tensor(-115) |
| Class 43 |      1.0      |      0.9948     |        0.9997       |        0.9954        |     1.0      |     0.8018     |       0.9997       |        0.9398       |     1.0      |     0.8018     |       0.9997       |        0.9398       |     230      |      230      |
